arch,target,mae,rmse,r2,n_params,training_time_sec
LSTM_Attention_Multi,pm25,1.5680989027023315,2.827907574973764,0.8571026921272278,148548,394.7
LSTM_Attention_Multi,no2,3.8647966384887695,5.914107973838549,0.8396965861320496,148548,394.7
LSTM_Attention_Multi,o3,6.255659103393555,8.875387263915455,0.886139452457428,148548,394.7
CNN_LSTM_Attention_Multi,pm25,1.6657766103744507,2.9112058654034203,0.8485603928565979,98372,710.8
CNN_LSTM_Attention_Multi,no2,4.000393390655518,6.016316163622393,0.8341079354286194,98372,710.8
CNN_LSTM_Attention_Multi,o3,6.50248384475708,9.042975077616576,0.8817989826202393,98372,710.8
Transformer_Encoder_Multi,pm25,1.8004299402236938,2.981369182515579,0.8411726951599121,107331,201.6
Transformer_Encoder_Multi,no2,4.348319053649902,6.21185472541323,0.8231492638587952,107331,201.6
Transformer_Encoder_Multi,o3,6.951591491699219,9.336583071298923,0.8739988803863525,107331,201.6
